1		Love wins all		아이유		Love wins all		https://cdnimg.melon.co.kr/cm2/album/images/114/04/142/11404142_20240123172248_500.jpg/melon/resize/120/quality/80/optimize	
2		To. X		태연 (TAEYEON)		To. X - The 5th Mini Album		https://cdnimg.melon.co.kr/cm2/album/images/113/72/896/11372896_20231127104957_500.jpg/melon/resize/120/quality/80/optimize	
3		비의 랩소디		임재현		비의 랩소디		https://cdnimg.melon.co.kr/cm2/album/images/113/76/816/11376816_20231201120653_500.jpg/melon/resize/120/quality/80/optimize	
4		Perfect Night		LE SSERAFIM (르세라핌)		Perfect Night		https://cdnimg.melon.co.kr/cm2/album/images/113/52/904/11352904_20231027101104_500.jpg/melon/resize/120/quality/80/optimize	
5		Love 119		RIIZE		Love 119		https://cdnimg.melon.co.kr/cm2/album/images/113/94/065/11394065_20240104151541_500.jpg/melon/resize/120/quality/80/optimize	
6		에피소드		이무진		에피소드		https://cdnimg.melon.co.kr/cm2/album/images/113/82/987/11382987_20231212165916_500.jpg/melon/resize/120/quality/80/optimize	
7		Drama		aespa		Drama - The 4th Mini Album		https://cdnimg.melon.co.kr/cm2/album/images/113/62/544/11362544_20231110142622_500.jpg/melon/resize/120/quality/80/optimize	
8		그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))		너드커넥션 (Nerd Connection)		그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))		https://cdnimg.melon.co.kr/cm2/album/images/113/05/759/11305759_20230814111006_500.jpg/melon/resize/120/quality/80/optimize	
9		헤어지자 말해요		박재정		1집 Alone		https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg/melon/resize/120/quality/80/optimize	
10		인사		범진		인사		https://cdnimg.melon.co.kr/cm2/album/images/108/21/699/10821699_20231205103724_500.jpg/melon/resize/120/quality/80/optimize	
11		사랑은 늘 도망가		임영웅		신사와 아가씨 OST Part.2		https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg/melon/resize/120/quality/80/optimize	
12		Seven (feat. Latto) - Clean Ver.		정국		Seven (feat. Latto) - Clean Ver.		https://cdnimg.melon.co.kr/cm2/album/images/112/86/070/11286070_20230713181059_500.jpg/melon/resize/120/quality/80/optimize	
13		Get A Guitar		RIIZE		Get A Guitar		https://cdnimg.melon.co.kr/cm2/album/images/113/09/832/11309832_20230904111501_500.jpg/melon/resize/120/quality/80/optimize	
14		Baddie		IVE (아이브)		I'VE MINE		https://cdnimg.melon.co.kr/cm2/album/images/113/33/459/11333459_20231013103537_500.jpg/melon/resize/120/quality/80/optimize	
15		I AM		IVE (아이브)		I've IVE		https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize	
16		모래 알갱이		임영웅		모래 알갱이		https://cdnimg.melon.co.kr/cm2/album/images/112/58/233/11258233_20230605094802_500.jpg/melon/resize/120/quality/80/optimize	
17		우리들의 블루스		임영웅		IM HERO		https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize	
18		Wife		(여자)아이들		2		https://cdnimg.melon.co.kr/cm2/album/images/114/02/655/11402655_20240129121016_500.jpg/melon/resize/120/quality/80/optimize	
19		Love Lee		AKMU (악뮤)		Love Lee		https://cdnimg.melon.co.kr/cm2/album/images/113/09/190/11309190_20230818161008_500.jpg/melon/resize/120/quality/80/optimize	
20		Do or Die		임영웅		Do or Die		https://cdnimg.melon.co.kr/cm2/album/images/113/40/391/11340391_20231006154621_500.jpg/melon/resize/120/quality/80/optimize	
